full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Aaron Cresswell,31,Premier League,2018/2019,Defender,West Ham United,1589,England,20,0,1
Aaron Lennon,33,Premier League,2018/2019,Midfielder,Burnley,1217,England,16,1,1
Aaron Mooy,30,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,Australia,29,3,1
Aaron Ramsey,30,Premier League,2018/2019,Midfielder,Arsenal,1327,Wales,28,4,6
Aaron Rowe,20,Premier League,2018/2019,Forward,Huddersfield Town,69,England,2,0,0
Aaron Wan-Bissaka,23,Premier League,2018/2019,Midfielder,Crystal Palace,3135,England,35,0,3
Abdelhamid Sabiri,24,Premier League,2018/2019,Midfielder,Huddersfield Town,49,Morocco,2,0,0
Abdoulaye Doucouré,28,Premier League,2018/2019,Midfielder,Watford,3062,France,35,5,6
Aboubakar Kamara,26,Premier League,2018/2019,Forward,Fulham,687,France,13,3,0
Adalberto Peñaranda Maestre,23,Premier League,2018/2019,Forward,Watford,0,Venezuela,0,0,0
Adam David Lallana,32,Premier League,2018/2019,Midfielder,Liverpool,465,England,13,0,0
Adam Masina,27,Premier League,2018/2019,Defender,Watford,1003,Italy,14,0,1
Adam Smith,29,Premier League,2018/2019,Defender,AFC Bournemouth,2073,England,25,1,1
Adama Diakhaby,24,Premier League,2018/2019,Forward,Huddersfield Town,551,France,12,0,0
Adama Traoré Diarra,25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,29,1,1
Ademola Lookman,23,Premier League,2018/2019,Forward,Everton,601,England,21,0,2
Adrian Mariappa,34,Premier League,2018/2019,Defender,Watford,1921,Jamaica,26,0,0
Adrián San Miguel del Castillo,34,Premier League,2018/2019,Goalkeeper,West Ham United,0,Spain,0,0,0
Adrien Sebastian Perruchet Silva,32,Premier League,2018/2019,Midfielder,Leicester City,88,Portugal,2,0,0
Ainsley Maitland-Niles,23,Premier League,2018/2019,Midfielder,Arsenal,985,England,16,1,1
Alberto Moreno,28,Premier League,2018/2019,Defender,Liverpool,155,Spain,2,0,0
